pubResumen,pubNumOficio,pubFechaPubli
"Calificación del IDPC cubierto total o parcialmente con el crédito que establece la Ley N° 19.606, como pagado para efectos de los artículos 56 N° 3 y 63 de la LIR.",3179,31/12/2019
Solicita reconsideración de Oficio N°2093 de 2019. Aplicación de artículo 33 bis a bienes raíces tomados en arrendamiento con opción de compra.,3146,30/12/2019
"Gastos asociados a la implementación de la Norma Chilena N° 3262 de 2012, sobre sistema de gestión e igualdad de género.",3145,30/12/2019
"Procedencia del crédito tributario establecido en Ley Austral (N° 19.606), a proyecto que indica. ",3144,30/12/2019
Tratamiento tributario de las inversiones en urbanización de predios que posteriormente son enajenados a desarrolladores inmobiliarios para la construcción de unidades habitacionales.,3143,30/12/2019
Tratamiento tributario de la enajenación de bienes raíces agrícolas por una comunidad hereditaria.,3137,30/12/2019
Tratamiento tributario de aportes voluntarios para el ingreso al museo ubicado en la comuna de YYYYY.,3129,27/12/2019
Desembolsos efectuado producto de una transacción derivada de un delito de estafa. ,3128,27/12/2019
"Oportunidad en que se tiene derecho al crédito establecido en la Ley N° 20.365 de 2010, sobre Sistemas Solares Térmicos (SST), en la situación que se indica.",3127,27/12/2019
Contribuyente obligado al pago del impuesto generado por el arriendo de una vivienda amoblada asignada por una cooperativa a uno de sus socios para su uso y goce.,3126,27/12/2019
Procedencia del impuesto único por término de giro con motivo de la disolución de una corporación e incremento patrimonial por la destinación de su patrimonio a una fundación.,3073,20/12/2019
"Vigencia exención del Impuesto a la Renta, establecida por Ley N°9.736.
",3037,16/12/2019
"Calificación tributaria de las rentas provenientes del arrendamiento de espacios físicos ubicados dentro de una vivienda económica acogida al DFL N° 2 de 1959.
",3036,16/12/2019
"Pagos Provisionales Mensuales Obligatorios (PPMO) en el caso de la obtención de rentas de fuente nacional con crédito en contra del impuesto de Primera Categoría conforme a lo dispuesto en la letra C.- del artículo 41 A. de la Ley sobre Impuesto a la Renta (LIR).
",3035,16/12/2019
"Aplicación del incentivo al ahorro para medianas empresas establecido en la letra C.- del Art. 14 ter de la Ley sobre impuesto a la Renta (LIR), en el ejercicio de término de giro. Tratamiento tributario de las sumas rebajadas por dicho concepto al momento del término de giro.
",3034,16/12/2019
"Tratamiento tributario aplicable a las devoluciones de capital efectuadas por un fondo de inversión público a aportantes domiciliados o residentes en Chile, realizadas mediante la disminución del valor cuota.
",3033,16/12/2019
"Régimen general de tributación de Sociedad Anónima Cerrada, cuyo propietario es una Asociación Gremial. Aclara Oficio Ord. N° 659 de 10-04-2018.
",3027,13/12/2019
"Régimen general de tributación de Sociedad Anónima Cerrada, cuyo propietario es una asociación Gremial. Aclara Oficio Ord. N° 660 de 10-04-2018
",3026,13/12/2019
"Procedencia de que un fondo de inversión que tributa como sociedad anónima, pueda recuperar como pago provisional, el Impuesto de Primera Categoría, en la imputación de pérdidas tributarias. ",2972,05/12/2019
"Reconsideración de criterio expuesto en Oficio Ord. N° 659, de 2018 del SII.",2971,05/12/2019
Inclusión de intereses en la determinación del costo tributario de acciones.,2897,26/11/2019
"Artículo 1°, de la Ley N° 8.834.",2896,26/11/2019
